E(X) LP,E(Y) LP,E(Z) LP,E(X) HP,E(Y) HP,E(Z) HP,Var HP X,Var HP Y,Var HP Z,MinMax X,MinMax Y,MinMax Z
293.62,2026.39,178.26,-82.74,-19.43,29.49,152088.90,363897.98,182774.48,2064.71,2379.57,1867.86
292.38,2026.54,178.75,-79.02,-3.29,29.70,152111.40,346892.98,182876.74,2064.71,2318.47,1867.86
291.31,2026.98,179.25,-68.76,14.94,29.78,156023.67,331352.93,182937.45,2064.71,2318.47,1867.86
290.42,2027.68,179.77,-56.74,30.29,31.23,162956.29,320542.78,184275.93,2064.71,2318.47,1867.86
289.71,2028.51,180.34,-46.04,38.84,34.60,168656.06,317057.09,187817.49,2064.71,2318.47,1867.86
289.14,2029.36,180.97,-37.49,40.60,37.89,171713.23,317064.24,192001.14,2064.71,2318.47,1867.86
288.64,2030.08,181.62,-32.88,31.81,39.57,174140.30,310325.46,194281.03,2064.71,2318.47,1867.86
288.16,2030.55,182.42,-31.77,16.49,48.47,174489.63,290306.65,200552.64,2064.71,2318.47,1867.86
287.67,2031.06,183.24,-32.73,18.95,50.27,174870.38,296812.31,202534.07,2064.71,2362.29,1867.86
287.02,2031.77,183.78,-41.91,31.08,32.37,176448.52,325587.71,183071.56,2064.71,2542.40,1867.86
286.11,2032.60,184.13,-58.83,38.69,20.30,181844.59,324459.58,164092.11,2064.71,2542.40,1670.77
284.93,2033.39,184.30,-75.15,36.89,9.50,184330.19,327082.57,150250.68,2064.71,2592.94,1626.38
283.61,2033.70,184.17,-83.99,6.36,-8.94,184874.84,329397.67,136727.20,2064.71,2592.94,1445.85
282.35,2033.60,183.83,-80.10,-19.49,-22.78,184354.82,307486.55,137759.64,2064.71,2592.94,1445.85
281.31,2033.47,183.41,-66.60,-20.44,-26.74,178969.42,306384.36,140483.21,2064.71,2592.94,1445.85
280.47,2033.42,182.93,-54.53,-15.99,-31.12,163076.78,308199.79,140546.94,2037.30,2592.94,1445.85
279.51,2033.52,182.47,-61.34,-7.16,-30.11,167430.55,308139.43,140803.57,2037.30,2592.94,1445.85
278.50,2033.86,182.11,-64.64,8.22,-23.42,168673.38,294266.57,140453.46,2037.30,2592.94,1445.85
277.54,2034.31,181.81,-61.37,15.76,-20.01,168003.27,289118.36,138761.54,2037.30,2592.94,1445.85
276.66,2034.82,181.54,-57.03,18.82,-17.70,167637.08,287614.65,136264.72,2037.30,2592.94,1445.85
275.87,2035.13,181.22,-50.65,6.03,-21.53,166755.58,281906.92,139379.77,2037.30,2592.94,1445.85
275.13,2035.23,180.70,-47.76,-6.34,-33.19,166237.21,272713.64,138739.57,2037.30,2592.94,1445.85
274.41,2035.42,180.01,-46.86,-1.45,-44.20,165857.58,272512.96,136151.61,2037.30,2592.94,1445.85
273.70,2035.67,179.20,-46.12,3.05,-51.61,165900.92,269709.36,135947.96,2037.30,2592.94,1445.85
272.97,2036.03,178.33,-47.17,9.30,-55.16,165515.79,265166.29,137553.29,2037.30,2592.94,1445.85
272.27,2036.46,177.42,-45.42,14.06,-57.98,166947.24,263653.24,139079.23,2037.30,2592.94,1445.85
271.61,2036.89,176.42,-42.46,13.97,-63.20,168916.17,263662.34,141237.06,2037.30,2592.94,1445.85
271.08,2037.33,175.35,-34.86,14.14,-68.08,172536.62,263639.55,142725.58,2037.30,2592.94,1445.85
270.67,2037.77,174.27,-27.39,14.64,-67.99,174438.96,263434.51,142704.99,2037.30,2592.94,1445.85
270.30,2038.24,173.18,-24.40,16.36,-69.55,175000.34,263030.50,142996.02,2037.30,2592.94,1445.85
269.96,2038.71,172.03,-22.89,16.86,-72.61,175623.80,262837.38,144147.70,2037.30,2592.94,1445.85
269.61,2039.19,170.83,-23.66,16.59,-75.67,175300.36,262915.20,145061.17,2037.30,2592.94,1445.85
269.22,2039.73,169.62,-26.00,20.56,-76.39,174526.30,262035.72,145192.76,2037.30,2592.94,1445.85
268.82,2040.34,168.43,-26.66,25.44,-75.12,174414.94,260757.35,145029.76,2037.30,2592.94,1445.85
268.43,2041.01,167.26,-26.01,28.69,-73.89,174616.37,259969.07,144816.67,2037.30,2592.94,1445.85
268.08,2041.69,166.05,-23.58,29.77,-76.40,176009.83,259539.60,145635.03,2037.30,2592.94,1445.85
267.82,2042.33,164.72,-17.80,26.85,-84.28,180021.96,261212.19,149833.66,2037.30,2592.94,1445.85
267.63,2042.86,163.23,-13.51,20.20,-93.44,181727.95,264005.98,152481.44,2037.30,2592.94,1445.85
